556,M1 @ PERANAKAN PLACECOMPLEX,3.Manned Collection (Contact staff for disp,"178B - 180A ORCHARD ROAD,PERANAKAN PLACECOMPLEX",238845,,E-wasteaccepted: ICT equipment and Batteries only,https://alba-ewaste.sg,
,,,,,"https://www.google.com/maps/dir/?api=1&destination=1.301449581,103.8
392718",,,

557,M1 @ TAMPINESMALL,3.Manned Collection (Contact staff for disp,"4 TAMPINES CENTRAL 5,TAMPINES MALL,#03-01",529510,,E-wasteaccepted: ICT equipment and Batteries only,https://alba-ewaste.sg,
,,,,,"https://www.google.com/maps/dir/?api=1&destination=1.352504683,103.9
446826",,,

558,M1 @ WEST MALL,3.Manned Collection (Contact staff for disp,"1 BUKIT BATOKCENTRAL LINK, WEST MALL,#01-16",658713,,E-wasteaccepted: ICT equipment and Batteries only,https://alba-ewaste.sg,
,,,,,"https://www.google.com/maps/dir/?api=1&destination=1.349821529,103.7
49172",,,

559,POPULAR SINGAPORE / URBANWRITE @ UNITED SQUARE,3.Manned Collection (Contact staff for disp,"101 THOMSON ROAD, UNITED SQUARE, #B1-56/56A",307591,,E-wasteaccepted: ICT equipment and Batteries only,https://alba-ewaste.sg,
,,,,,"https://www.google.com/maps/dir/?api=1&destination=1.317071087,103.8
435526",,,


560,POPULAR SINGAPORE @ BEDOKMALL,3.Manned Collection (Contact staff for disp,"311 NEWUPPER CHANGI ROAD,BEDOK MALL, #B2-02/35/36",467360,,E-wasteaccepted: ICT equipment and Batteries only,https://alba-ewaste.sg,
,,,,,"https://www.google.com/maps/dir/?api=1&destination=1.325238707,103.9
29725",,,

561,POPULAR SINGAPORE @ BUKIT PANJANG PLAZA,3.Manned Collection (Contact staff for disp,"1 JELEBU ROAD,BUKIT PANJANG PLAZA, #03-01",677743,,E-wasteaccepted: ICT equipment and Batteries only,https://alba-ewaste.sg,
,,,,,"https://www.google.com/maps/dir/?api=1&destination=1.380037133,103.7
64237",,,

562,POPULAR SINGAPORE @ BUKIT TIMAH PLAZA,3.Manned Collection (Contact staff for disp,"1 JALAN ANAKBUKIT,BUKIT TIMAH PLAZA, #01-16",588996,,E-wasteaccepted: ICT equipment and Batteries only,https://alba-ewaste.sg,
,,,,,"https://www.google.com/maps/dir/?api=1&destination=1.338322233,103.7
786888",,,

563,POPULAR SINGAPORE @ CAUSEWAY POINT,3.Manned Collection (Contact staff for disp,"1 WOODLANDSSQUARE,CAUSEWAY POINT, #03-29/30",738099,,E-wasteaccepted: ICT equipment and Batteries only,https://alba-ewaste.sg,
,,,,,"https://www.google.com/maps/dir/?api=1&destination=1.436270944,103.7
862009",,,

564,POPULAR SINGAPORE @ CLEMENTIMALL,3.Manned Collection (Contact staff for disp,"3155 COMMONWEALTH AVENUEWEST, CLEMENTIMALL,#05-01 TO 05",129588,,E-wasteaccepted: ICT equipment and Batteries only,https://alba-ewaste.sg,
,,,,,"https://www.google.com/maps/dir/?api=1&destination=1.315026531,103.7
647159",,,

565,POPULAR SINGAPORE @ COMPASS ONE,3.Manned Collection (Contact staff for disp,"1 SENG KANG SQUARE, COMPASS ONE, #03-11",545078,,E-wasteaccepted: ICT equipment and Batteries only,https://alba-ewaste.sg,
,,,,,"https://www.google.com/maps/dir/?api=1&destination=1.39245072,103.89
52372",,,

566,POPULAR SINGAPORE @ EASTPOINT MALL,3.Manned Collection (Contact staff for disp,"3 SIMEISTREET 6,EASTPOINT MALL,#03-23",528833,,E-wasteaccepted: ICT equipment and Batteries only,https://alba-ewaste.sg,
,,,,,"https://www.google.com/maps/dir/?api=1&destination=1.342890373,103.9
528455",,,

567,POPULAR SINGAPORE @ HDB HUB,3.Manned Collection (Contact staff for disp,"530 TOAPAYOH LOR 6,HDB HUB,#02-01",310530,,E-wasteaccepted: ICT equipment and Batteries only,https://alba-ewaste.sg,
,,,,,"https://www.google.com/maps/dir/?api=1&destination=1.332407254,103.8
471072",,,

568,POPULAR SINGAPORE @ HEARTLAND MALL - KOVAN,3.Manned Collection (Contact staff for disp,"205 HOUGANG STREET 21, HEARTLAND MALL - KOVAN,#03-00",530205,,E-wasteaccepted: ICT equipment and Batteries only,https://alba-ewaste.sg,
,,,,,"https://www.google.com/maps/dir/?api=1&destination=1.359271422,103.8
849046",,,

569,POPULAR SINGAPORE @ HOUGANG MALL,3.Manned Collection (Contact staff for disp,"90 HOUGANG AVENUE, HOUGANG MALL, #03-15",538766,,E-wasteaccepted: ICT equipment and Batteries only,https://alba-ewaste.sg,
,,,,,"https://www.google.com/maps/dir/?api=1&destination=1.372340595,103.8
936642",,,

570,POPULAR SINGAPORE @ JUNCTION 8 SHOPPING CENTRE,3.Manned Collection (Contact staff for disp,"9 BISHAN PLACE, JUNCTION 8, #04-02A",579837,,E-wasteaccepted: ICT equipment and Batteries only,https://alba-ewaste.sg,
,,,,,"https://www.google.com/maps/dir/?api=1&destination=1.350382122,103.8
486188",,,

571,POPULAR SINGAPORE @ JURONG POINT,3.Manned Collection (Contact staff for disp,"1 JURONG WEST CENTRAL 2,JURONG POINT, #B1-41",648886,,E-wasteaccepted: ICT equipment and Batteries only,https://alba-ewaste.sg,
,,,,,"https://www.google.com/maps/dir/?api=1&destination=1.340417882,103.7
067339",,,

572,POPULAR SINGAPORE @ LOT ONESHOPPERS'MALL,3.Manned Collection (Contact staff for disp,"21 CHOA CHU KANG AVENUE 4,LOT ONE, #03-13",689812,,E-wasteaccepted: ICT equipment and Batteries only,https://alba-ewaste.sg,
,,,,,"https://www.google.com/maps/dir/?api=1&destination=1.385264181,103.7
451613",,,

573,POPULAR SINGAPORE @ MARINEPARADE CENTRAL,3.Manned Collection (Contact staff for disp,"86 MARINEPARADE CENTRAL, #02-101/102",440086,,E-wasteaccepted: ICT equipment and Batteries only,https://alba-ewaste.sg,
,,,,,"https://www.google.com/maps/dir/?api=1&destination=1.301627466,103.9
065648",,,

574,POPULAR SINGAPORE @ NEX MALL,3.Manned Collection (Contact staff for disp,"23 SERANGOON CENTRAL,NEX MALL,#04-59/60",556083,,E-wasteaccepted: ICT equipment and Batteries only,https://alba-ewaste.sg,
,,,,,"https://www.google.com/maps/dir/?api=1&destination=1.350492255,103.8
720706",,,

575,POPULAR SINGAPORE @ NORTHPOINT CITY,3.Manned Collection (Contact staff for disp,"930 YISHUN AVENUE 2,NORTHPOINT CITY, #03-12",769098,,E-wasteaccepted: ICT equipment and Batteries only,https://alba-ewaste.sg,
,,,,,"https://www.google.com/maps/dir/?api=1&destination=1.430044699,103.8
357738",,,

576,POPULAR SINGAPORE @ OASISTERRACES,3.Manned Collection (Contact staff for disp,"681 PUNGGOL DRIVE, OASIS TERRACES,#03-15/16",820681,,E-wasteaccepted: ICT equipment and Batteries only,https://alba-ewaste.sg,
,,,,,"https://www.google.com/maps/dir/?api=1&destination=1.402301126,103.9
131416",,,

577,POPULAR SINGAPORE @ PARKWAY PARADE,3.Manned Collection (Contact staff for disp,"80 MARINEPARADE ROAD,PARKWAY PARADE,#B-70/71",449269,,E-wasteaccepted: ICT equipment and Batteries only,https://alba-ewaste.sg,
,,,,,"https://www.google.com/maps/dir/?api=1&destination=1.301470833,103.9
051547",,,

578,POPULAR SINGAPORE @ PAYA LEBAR QUARTER (PLQ),3.Manned Collection (Contact staff for disp,"10 PAYA LEBAR ROAD, PAYA LEBAR QUARTER,#03-01/02/03",409057,,E-wasteaccepted: ICT equipment and Batteries only,https://alba-ewaste.sg,
,,,,,"https://www.google.com/maps/dir/?api=1&destination=1.317963426,103.8
92946",,,

579,POPULAR SINGAPORE @ SELETAR MALL,3.Manned Collection (Contact staff for disp,"33 SENGKANG WEST AVENUE, SELETAR MALL,#03-06 TO 09",797653,,E-wasteaccepted: ICT equipment and Batteries only,https://alba-ewaste.sg,
,,,,,"https://www.google.com/maps/dir/?api=1&destination=1.391032263,103.8
760043",,,

580,POPULAR SINGAPORE @ TAMPINESMALL,3.Manned Collection (Contact staff for disp,"4 TAMPINES CENTRAL 5,TAMPINES MALL,#03-17",529510,,E-wasteaccepted: ICT equipment and Batteries only,https://alba-ewaste.sg,
,,,,,"https://www.google.com/maps/dir/?api=1&destination=1.352474214,103.9
445148",,,

581,POPULAR SINGAPORE @ TIONG BAHRU PLAZA,3.Manned Collection (Contact staff for disp,"302 TIONG BAHRUROAD,TIONG BAHRUPLAZA, #03-115",168732,,E-wasteaccepted: ICT equipment and Batteries only,https://alba-ewaste.sg,
,,,,,"https://www.google.com/maps/dir/?api=1&destination=1.286364794,103.8
267955",,,

582,POPULAR SINGAPORE @ UNITED SQUARE,3.Manned Collection (Contact staff for disp,"101 THOMSON ROAD, UNITED SQUARE, #02-22/25",307591,,E-wasteaccepted: ICT equipment and Batteries only,https://alba-ewaste.sg,
,,,,,"https://www.google.com/maps/dir/?api=1&destination=1.317275877,103.8
436687",,,

583,POPULAR SINGAPORE @ VIVOCITY,3.Manned Collection (Contact staff for disp,"1 HARBOURFRONT WALK,VIVOCITY, #B1-16/17",98585,,E-wasteaccepted: ICT equipment and Batteries only,https://alba-ewaste.sg,
,,,,,"https://www.google.com/maps/dir/?api=1&destination=1.264638347,103.8
213654",,,

584,POPULAR SINGAPORE @ WEST MALL,3.Manned Collection (Contact staff for disp,"1 BUKIT BATOKCENTRAL LINK, WEST MALL,#04-02",658713,,E-wasteaccepted: ICT equipment and Batteries only,https://alba-ewaste.sg,
,,,,,"https://www.google.com/maps/dir/?api=1&destination=1.350056703,103.7
492993",,,

585,POPULAR SINGAPORE @ WESTGATE,3.Manned Collection (Contact staff for disp,"3 GATEWAY DRIVE, WESTGATE,#04-26/27",608532,,E-wasteaccepted: ICT equipment and Batteries only,https://alba-ewaste.sg,
,,,,,"https://www.google.com/maps/dir/?api=1&destination=1.334329431,103.7
428129",,,

586,POPULAR SINGAPORE @ WHITE SANDS,3.Manned Collection (Contact staff for disp,"1 PASIR RIS CENTRAL STREET 3,WHITE SANDS,#04-12/13",518457,,E-wasteaccepted: ICT equipment and Batteries only,https://alba-ewaste.sg,
,,,,,"https://www.google.com/maps/dir/?api=1&destination=1.372385912,103.9
493354",,,

587,SONY @ 313 SOMERSET,3.Manned Collection (Contact staff for disp,"313 ORCHARD ROAD, 313 SOMERSET, #02-28",238895,,E-wasteaccepted: ICT equipment and Batteries only,https://alba-ewaste.sg,
,,,,,"https://www.google.com/maps/dir/?api=1&destination=1.300978082,103.8
383505",,,

588,SONY @ NEX,3.Manned Collection (Contact staff for disp,"23 SERANGOON CENTRAL,NEX,#03-21",556083,,E-wasteaccepted: ICT equipment and Batteries only,https://alba-ewaste.sg,
,,,,,"https://www.google.com/maps/dir/?api=1&destination=1.350445795,103.8
725905",,,

589,SONY @ WISMA ATRIA,3.Manned Collection (Contact staff for disp,"435 ORCHARD ROAD, WISMA ATRIA,#03-01",238877,,E-wasteaccepted: ICT equipment and Batteries only,https://alba-ewaste.sg,
,,,,,"https://www.google.com/maps/dir/?api=1&destination=1.30370452,103.83
3201",,,

590,STARHUB @ PLAZASINGAPURA,3.Manned Collection (Contact staff for disp,"68 ORCHARD ROAD,STARHUB @ PLAZASINGAPURA, #01-36, IN-STORE",238839,,E-wasteaccepted: ICT equipment and Batteries only,https://alba-ewaste.sg,
,,,,,"https://www.google.com/maps/dir/?api=1&destination=1.30073413,103.84
50727",,,

591,STARHUB @ TAMPINESCENTRAL,3.Manned Collection (Contact staff for disp,"4 TAMPINES CENTRAL 5,STARHUB @ TAMPINES,#02-27, IN-STORE",529510,,E-wasteaccepted: ICT equipment and Batteries only,https://alba-ewaste.sg,
,,,,,"https://www.google.com/maps/dir/?api=1&destination=1.352504683,103.9
446826",,,

592,COURTS @ FUNAN,3.Manned Collection (Contact staff for disp,"107 NORTH BRIDGE ROAD, FUNAN,#03-01",179105,,"E-wasteaccepted: ICT equipment,Batteries and Lamps only",https://alba-ewaste.sg,
,,,,,"https://www.google.com/maps/dir/?api=1&destination=1.291344006,103.8
499848",,,

593,COURTS @ LOT ONE,3.Manned Collection (Contact staff for disp,"21 CHOA CHU KANG AVE4,LOT ONE,#03-01",689812,,"E-wasteaccepted: ICT equipment,Batteries and Lamps only",https://alba-ewaste.sg,
,,,,,"https://www.google.com/maps/dir/?api=1&destination=1.38513874,103.74
50225",,,

594,COURTS @ SIM LIAN BUILDING,3.Manned Collection (Contact staff for disp,"205 UPPER BUKIT TIMAH ROAD,SIM LIAN BUILDING",588181,,"E-wasteaccepted: ICT equipment,Batteries and Lamps only",https://alba-ewaste.sg,
,,,,,"https://www.google.com/maps/dir/?api=1&destination=1.344476022,103.7
743653",,,

595,COURTS @ TAMPINES MALL,3.Manned Collection (Contact staff for disp,"4 TAMPINES CENTRAL 5,TAMPINES MALL,#03-16/16A",529510,,"E-wasteaccepted: ICT equipment,Batteries and Lamps only",https://alba-ewaste.sg,
,,,,,"https://www.google.com/maps/dir/?api=1&destination=1.352292303,103.9
444769",,,

596,SHELL ALEXANDRA,4. Non-regulated products recycling,358 ALEXANDRAROAD,159950,,"E-wasteaccepted: Non-regulated products only; E.g.Small household appliances,
gaming consoles,audio systems, power supplies",https://www.facebook.com/metalosg/,
,,,,,"https://www.google.com/maps/dir/?api=1&destination=1.290661046,103.8
06843695",,,

597,SHELL ANG MO KIO,4. Non-regulated products recycling,3535 ANG MO KIO AVENUE6,569839,,"E-wasteaccepted: Non-regulated products only; E.g.Small household appliances,
gaming consoles,audio systems, power supplies",https://www.facebook.com/metalosg/,
,,,,,"https://www.google.com/maps/dir/?api=1&destination=1.367837492,103.8
44671566",,,

598,SHELL BOON LAY,4.Non-regulated products recycling,2 BOON LAY AVENUE,649960,,"E-wasteaccepted: Non-regulated products only; E.g.Small household appliances,
gaming consoles,audio systems, power supplies",https://www.facebook.com/metalosg/,
,,,,,"https://www.google.com/maps/dir/?api=1&destination=1.344003409,103.7
07710355",,,

599,SHELL BRADDELL,4. Non-regulated products recycling,110 BRADDELL ROAD,359914,,"E-wasteaccepted: Non-regulated products only; E.g.Small household appliances,
gaming consoles,audio systems, power supplies",https://www.facebook.com/metalosg/,
,,,,,"https://www.google.com/maps/dir/?api=1&destination=1.344583526,103.8
64557912",,,

600,SHELL BUKIT BATOK(AVE 3),4.Non-regulated products recycling,11 BUKIT BATOKWEST AVENUE 3,659166,,"E-wasteaccepted: Non-regulated products only; E.g.Small household appliances,
gaming consoles,audio systems, power supplies",https://www.facebook.com/metalosg/,
,,,,,"https://www.google.com/maps/dir/?api=1&destination=1.350227423,103.7
38433116",,,

601,SHELL BUKIT BATOK(AVE 6),4.Non-regulated products recycling,28 BUKIT BATOKEAST AVENUE6,659760,,"E-wasteaccepted: Non-regulated products only; E.g.Small household appliances,
gaming consoles,audio systems, power supplies",https://www.facebook.com/metalosg/,
,,,,,"https://www.google.com/maps/dir/?api=1&destination=1.34762672,103.76
4888537",,,

602,SHELL CHOACHUKANG,4.Non-regulated products recycling,20 CHOA CHU KANG DRIVE,689717,,"E-wasteaccepted: Non-regulated products only; E.g.Small household appliances,
gaming consoles,audio systems, power supplies",https://www.facebook.com/metalosg/,
,,,,,"https://www.google.com/maps/dir/?api=1&destination=1.385605519,103.7
46481837",,,

603,SHELL EAST COAST,4.Non-regulated products recycling,338 EAST COAST ROAD,428961,,"E-wasteaccepted: Non-regulated products only; E.g.Small household appliances,
gaming consoles,audio systems, power supplies",https://www.facebook.com/metalosg/,
,,,,,"https://www.google.com/maps/dir/?api=1&destination=1.308211823,103.9
09783038",,,

604,SHELL HAVELOCK,4. Non-regulated products recycling,548 HAVELOCKROAD,169637,,"E-wasteaccepted: Non-regulated products only; E.g.Small household appliances,
gaming consoles,audio systems, power supplies",https://www.facebook.com/metalosg/,
,,,,,"https://www.google.com/maps/dir/?api=1&destination=1.2899369098838,1
03.832409397132",,,

605,SHELL JURONG WEST,4. Non-regulated products recycling,21 JURONG WEST AVENUE 5,649481,,"E-wasteaccepted: Non-regulated products only; E.g.Small household appliances,
gaming consoles,audio systems, power supplies",https://www.facebook.com/metalosg/,
,,,,,"https://www.google.com/maps/dir/?api=1&destination=1.350092212,103.7
01211186",,,

606,SHELL MARSILING,4. Non-regulated products recycling,10 MARSILING ROAD,739109,,"E-wasteaccepted: Non-regulated products only; E.g.Small household appliances,
gaming consoles,audio systems, power supplies",https://www.facebook.com/metalosg/,
,,,,,"https://www.google.com/maps/dir/?api=1&destination=1.438325333,103.7
75415745",,,

607,SHELL NEWTON HOOPER,4.Non-regulated products recycling,150 BUKIT TIMAH ROAD,229846,,"E-wasteaccepted: Non-regulated products only; E.g.Small household appliances,
gaming consoles,audio systems, power supplies",https://www.facebook.com/metalosg/,
,,,,,"https://www.google.com/maps/dir/?api=1&destination=1.311342945,103.8
43097938",,,

608,SHELL PASIR RIS,4. Non-regulated products recycling,1 NEWLOYANG LINK,506931,,"E-wasteaccepted: Non-regulated products only; E.g.Small household appliances,
gaming consoles,audio systems, power supplies",https://www.facebook.com/metalosg/,
,,,,,"https://www.google.com/maps/dir/?api=1&destination=1.365794134,103.9
67222284",,,

609,SHELL PAYA LEBAR,4.Non-regulated products recycling,98 PAYA LEBAR ROAD,409008,,"E-wasteaccepted: Non-regulated products only; E.g.Small household appliances,
gaming consoles,audio systems, power supplies",https://www.facebook.com/metalosg/,
,,,,,"https://www.google.com/maps/dir/?api=1&destination=1.321754989,103.8
91649083",,,

610,SHELL PAYA LEBAR MACPHERSON,4. Non-regulated products recycling,255 PAYA LEBAR ROAD,409037,,"E-wasteaccepted: Non-regulated products only; E.g.Small household appliances,
gaming consoles,audio systems, power supplies",https://www.facebook.com/metalosg/,
,,,,,"https://www.google.com/maps/dir/?api=1&destination=1.33178863606529,
103.888725333216",,,


611,SHELL SERANGOON GARDEN,4. Non-regulated products recycling,49 SERANGOON GARDEN WAY,555944,,"E-wasteaccepted: Non-regulated products only; E.g.Small household appliances,
gaming consoles,audio systems, power supplies",https://www.facebook.com/metalosg/,
,,,,,"https://www.google.com/maps/dir/?api=1&destination=1.36322447321201,
103.867359768798",,,

612,SHELL SIGLAP,4. Non-regulated products recycling,40 UPPER EAST COAST ROAD,455212,,"E-wasteaccepted: Non-regulated products only; E.g.Small household appliances,
gaming consoles,audio systems, power supplies",https://www.facebook.com/metalosg/,
,,,,,"https://www.google.com/maps/dir/?api=1&destination=1.312552973,103.9
26540994",,,

613,SHELL SIMPANG BEDOK,4.Non-regulated products recycling,331 BEDOKROAD,469504,,"E-wasteaccepted: Non-regulated products only; E.g.Small household appliances,
gaming consoles,audio systems, power supplies",https://www.facebook.com/metalosg/,
,,,,,"https://www.google.com/maps/dir/?api=1&destination=1.330890018,103.9
47576317",,,

614,SHELL TAMPINES,4.Non-regulated products recycling,9 TAMPINESAVENUE 2,529731,,"E-wasteaccepted: Non-regulated products only; E.g.Small household appliances,
gaming consoles,audio systems, power supplies",https://www.facebook.com/metalosg/,
,,,,,"https://www.google.com/maps/dir/?api=1&destination=1.349208775,103.9
47630247",,,

615,SHELL THOMSON,4.Non-regulated products recycling,324 THOMSON ROAD,307672,,"E-wasteaccepted: Non-regulated products only; E.g.Small household appliances,
gaming consoles,audio systems, power supplies",https://www.facebook.com/metalosg/,
,,,,,"https://www.google.com/maps/dir/?api=1&destination=1.324191507,103.8
42166355",,,

616,SHELL TIONG BAHRU,4. Non-regulated products recycling,603 TIONG BAHRUROAD,158788,,"E-wasteaccepted: Non-regulated products only; E.g.Small household appliances,
gaming consoles,audio systems, power supplies",https://www.facebook.com/metalosg/,
,,,,,"https://www.google.com/maps/dir/?api=1&destination=1.28848416886655,
103.819631176469",,,

617,SHELL TOA PAYOH,4.Non-regulated products recycling,248 TOA PAYOH LORONG 1,319755,,"E-wasteaccepted: Non-regulated products only; E.g.Small household appliances,
gaming consoles,audio systems, power supplies",https://www.facebook.com/metalosg/,
,,,,,"https://www.google.com/maps/dir/?api=1&destination=1.341087645,103.8
48878826",,,

618,SHELL WOODLANDS,4. Non-regulated products recycling,20 WOODLANDS AVENUE9,738954,,"E-wasteaccepted: Non-regulated products only; E.g.Small household appliances,
gaming consoles,audio systems, power supplies",https://www.facebook.com/metalosg/,
,,,,,"https://www.google.com/maps/dir/?api=1&destination=1.444329267,103.7
90059164",,,

619,SHELL YISHUN,4. Non-regulated products recycling,1 YISHUN STREET 11,768642,,"E-wasteaccepted: Non-regulated products only; E.g.Small household appliances,
gaming consoles,audio systems, power supplies",https://www.facebook.com/metalosg/,
,,,,,"https://www.google.com/maps/dir/?api=1&destination=1.43080205,103.83
301117",,,

620,ANG MO KIO HUB,4.Non-regulated products recycling,"53 ANG MO KIO AVENUE3,AMKHUB,#03-13",569933,,"E-wasteaccepted: Non-regulated products only; E.g.Small household appliances,
gaming consoles,audio systems, power supplies",https://www.kgs.com.sg/,
,,,,,"https://www.google.com/maps/dir/?api=1&destination=1.369248913,103.8
483992",,,

621,ONEMARINA,4.Non-regulated products recycling,"1 MARINABOULEVARD,ONE MARINA BOULEVARD, B1",18989,,"E-wasteaccepted: Non-regulated products only; E.g.Small household appliances,
gaming consoles,audio systems, power supplies",https://www.kgs.com.sg/,
,,,,,"https://www.google.com/maps/dir/?api=1&destination=1.282287657,103.8
524287",,,

622,JURONG POINT,4.Non-regulated products recycling,"1 JURONG WEST CENTRAL 2, JURONG POINT, BESIDES SKECHERS #01-16H/J",648886,,"E-wasteaccepted: Non-regulated products only; E.g.Small household appliances,
gaming consoles,audio systems, power supplies",https://www.kgs.com.sg/,
,,,,,"https://www.google.com/maps/dir/?api=1&destination=1.339830153,103.7
064609",,,

623,WISMA ATRIA,4.Non-regulated products recycling,"435 ORCHARDROAD,WISMAATRIA, LEVEL 6 BESIDE CARPARK",238877,,"E-wasteaccepted: Non-regulated products only; E.g.Small household appliances,
gaming consoles,audio systems, power supplies",https://www.kgs.com.sg/,
,,,,,"https://www.google.com/maps/dir/?api=1&destination=1.303698902,103.8
331896",,,

624,SENGKANG GENERAL HOSPITAL,4.Non-regulated products recycling,"110 SENGKANG EAST WAY, SENGKANG GENERAL HOSPITAL,LEVEL 8",544886,,"E-wasteaccepted: Non-regulated products only; E.g.Small household appliances,
gaming consoles,audio systems, power supplies",https://www.kgs.com.sg/,
,,,,,"https://www.google.com/maps/dir/?api=1&destination=1.394299412,103.8
930013",,,

625,CHANGIGENERAL HOSPITAL,4.Non-regulated products recycling,"2 SIMEISTREET 3,CHANGI GENERAL HOSPITAL",529889,,"E-wasteaccepted: Non-regulated products only; E.g.Small household appliances,
gaming consoles,audio systems, power supplies",https://www.kgs.com.sg/,
,,,,,"https://www.google.com/maps/dir/?api=1&destination=1.34068474,103.94
92944",,,

626,ESR BIZPARK@CHANGI,4.Non-regulated products recycling,"8 CHANGIBUSINESSPARKAVENUE 1,ESR BIZPARK #01-51",486018,,"E-wasteaccepted: Non-regulated products only; E.g.Small household appliances,
gaming consoles,audio systems, power supplies",https://www.kgs.com.sg/,
,,,,,"https://www.google.com/maps/dir/?api=1&destination=1.334919773,103.9
636539",,,

627,SEMBAWANG SHOPPING CENTRE,4.Non-regulated products recycling,"604 SEMBAWANG ROAD,SEMBAWANG SHOPPING CENTRE, 2F",758459,,"E-wasteaccepted: Non-regulated products only; E.g.Small household appliances,
gaming consoles,audio systems, power supplies",https://www.kgs.com.sg/,
,,,,,"https://www.google.com/maps/dir/?api=1&destination=1.441767148,103.8
244951",,,

628,23 GHIM MOH LINK,4.Non-regulated products recycling,23 GHIM MOH LINK,271023,,"E-wasteaccepted: Non-regulated products only; E.g.Small household appliances,
gaming consoles,audio systems, power supplies",https://www.kgs.com.sg/,
,,,,,"https://www.google.com/maps/dir/?api=1&destination=1.308635626,103.7
86332",,,

629,SINGPOST CENTRE,4.Non-regulated products recycling,"10 EUNOS ROAD 8, SINGPOST CENTRE",408600,,"E-wasteaccepted: Non-regulated products only; E.g.Small household appliances,
gaming consoles,audio systems, power supplies",https://www.kgs.com.sg/,
,,,,,"https://www.google.com/maps/dir/?api=1&destination=1.318856103,103.8
940672",,,

630,SINGAPORE GENERAL HOSPITAL,4.Non-regulated products recycling,"20 COLLEGEROAD,ACADEMIA BUILDING",169856,,"E-wasteaccepted: Non-regulated products only; E.g.Small household appliances,
gaming consoles,audio systems, power supplies",https://www.kgs.com.sg/,
,,,,,"https://www.google.com/maps/dir/?api=1&destination=1.281670377,103.8
355855",,,

631,SOUTH BEACH AVENUE,4.Non-regulated products recycling,"26 BEACH ROAD,SOUTH BEACH AVENUE",189768,,"E-wasteaccepted: Non-regulated products only; E.g.Small household appliances,
gaming consoles,audio systems, power supplies",https://www.kgs.com.sg/,
,,,,,"https://www.google.com/maps/dir/?api=1&destination=1.294431711,103.8
560109",,,

632,TZUCHIHUMANISTIC YOUTH CENTRE,4.Non-regulated products recycling,"30A YISHUN CENTRAL 1, TZU CHI HUMANISTIC YOUTH CENTRE",768796,,"E-wasteaccepted: Non-regulated products only; E.g.Small household appliances,
gaming consoles,audio systems, power supplies",https://www.kgs.com.sg/,
,,,,,"https://www.google.com/maps/dir/?api=1&destination=1.426537511,103.8
383334",,,

633,MARINAONE,4.Non-regulated products recycling,"5 STRAITS VIEW, MARINAONE, #B2-79",18935,,"E-wasteaccepted: Non-regulated products only; E.g.Small household appliances,
gaming consoles,audio systems, power supplies",https://www.kgs.com.sg/,
,,,,,"https://www.google.com/maps/dir/?api=1&destination=1.277372343,103.8
528448",,,

634,336ASEMBAWANG CRESCENT MSCP,4.Non-regulated products recycling,336A SEMBAWANG CRESCENT,751336,,"E-wasteaccepted: Non-regulated products only; E.g.Small household appliances,
gaming consoles,audio systems, power supplies",https://www.kgs.com.sg/,
,,,,,"https://www.google.com/maps/dir/?api=1&destination=1.446638619,103.8
150105",,,

635,406ASEMBAWANG DRIVE MSCP,4.Non-regulated products recycling,406A SEMBAWANG DRIVE,751406,,"E-wasteaccepted: Non-regulated products only; E.g.Small household appliances,
gaming consoles,audio systems, power supplies",https://www.kgs.com.sg/,
,,,,,"https://www.google.com/maps/dir/?api=1&destination=1.452736242,103.8
172493
https://www.google.com/maps/dir/?api=1&destination=1.42969848,103.83
57765
https://www.google.com/maps/dir/?api=1&destination=1.371780447,103.8
4957",,,
636,NORTHPOINT CITY,4.Non-regulated products recycling,"930 YISHUN AVENUE2,NORTHPOINT CITY,SOUTH WING, LEVEL 2",769098,,"E-wasteaccepted: Non-regulated products only; E.g.Small household appliances,
gaming consoles,audio systems, power supplies",https://www.kgs.com.sg/,
637,CHENG SAN COMMUNITY CENTRE,4.Non-regulated products recycling,"6 ANG MO KIO STREET 53, CHENG SAN COMMUNITY CENTRE,LEVEL 1",569205,,"E-wasteaccepted: Non-regulated products only; E.g.Small household appliances,
gaming consoles,audio systems, power supplies",https://www.kgs.com.sg/,

